sample,treat
X001a,A
X002a,A
X003a,A
X004a,A
X005a,A
X006a,A
X007a,A
X008a,A
X009a,A
X010a,A
X011a,A
X012a,A
X013a,A
X014a,A
X015a,A
X016a,A
X017a,A
X018a,A
X019a,A
X020a,A
X021a,A
X022a,A
X023a,A
X024a,A
X025a,A
X026a,A
X027a,A
X028a,A
X029a,A
X030a,A
X031a,A
X032a,A
X033a,A
X034a,A
X035a,A
X036a,A
X037a,A
X038a,A
X039a,A
X040a,A
X041a,A
X042a,A
X043a,A
X044a,A
X045a,A
X046a,A
X047a,A
X048a,A
X049a,A
X050a,A
X051a,A
X052a,A
X053a,A
X054a,A
X055a,A
X056a,A
X057a,A
X058a,A
X059a,A
X060a,A
X061a,A
X062a,A
X063a,A
X064a,A
X065a,A
X066a,A
X067a,A
X068a,A
X069a,A
X070a,A
X072a,A
X073a,A
X074a,A
X075a,A
X076a,A
X077a,A
X078a,A
X079a,A
X080a,A
X081a,A
X082a,A
X083a,A
X084a,A
X085a,A
X086a,A
X087a,A
X088a,A
X089a,A
X090a,A
X091a,A
X092a,A
X093a,A
X094a,A
X095a,A
X096a,A
X097a,A
X098a,A
X099a,A
X100a,A
X101a,A
X102a,A
X103a,A
X104a,A
X105a,A
X106a,A
X107a,A
X108a,A
X109a,A
X110a,A
X111a,A
X112a,A
X113a,A
X114a,A
X115a,A
X116a,A
X117a,A
X118a,A
